Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,ROC AUC
Random Forest,1.0,0.9998939756992302,0.9998146431881372,1.0,0.9999073130039855,0.9999998916431785
Gradient Boosting,0.9998992769142687,0.9998515659789223,0.9997775718257645,0.999962921764924,0.9998702382055797,0.9999997024778797
Logistic Regression,0.9992843359698043,0.99919421531415,0.999110452186805,0.9994809047089358,0.9992956441149212,0.999992567456667
Decision Tree,1.0,0.9989397569923026,0.9993322451402286,0.9988134964775677,0.9990728034714238,0.9989609609288626
